,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Punta Arenas,-53.15,-70.9167,44.71,76,0,9.22,CL,1628127683
1,Yellowknife,62.456,-114.3525,55.92,58,90,9.22,CA,1628127458
2,Port Elizabeth,-33.918,25.5701,61.09,94,40,8.05,ZA,1628127290
3,Mayumba,-3.432,10.6554,71.65,91,69,4.05,GA,1628127531
4,Aklavik,68.2191,-135.0107,68.83,35,0,11.99,CA,1628127683
5,Bluff,-46.6,168.3333,49.8,68,100,5.91,NZ,1628127684
6,Busselton,-33.65,115.3333,56.05,72,0,6.49,AU,1628127514
7,New Norfolk,-42.7826,147.0587,54.91,47,100,6.08,AU,1628127684
8,Saint-Philippe,-21.3585,55.7679,65.75,79,80,15.39,RE,1628127684
9,Albany,42.6001,-73.9662,68.61,81,100,2.91,US,1628127685
10,Haines Junction,60.7522,-137.5108,69.75,60,100,0.0,CA,1628127685
11,Mogadishu,2.0371,45.3438,76.1,83,73,17.65,SO,1628127685
12,Rikitea,-23.1203,-134.9692,73.04,71,7,17.11,PF,1628127685
13,Nishihara,26.1842,127.7558,80.26,97,75,12.66,JP,1628127686
14,Tateyama,34.9833,139.8667,87.82,73,1,5.12,JP,1628127592
15,Santa Rosa de Cabal,4.8681,-75.6214,70.84,53,40,3.44,CO,1628127686
16,Vestmanna,62.1564,-7.1664,52.72,100,90,2.3,FO,1628127548
17,Xianyang,34.3378,108.7026,81.64,69,20,2.24,CN,1628127686
18,Yarmouth,41.7057,-70.2286,67.03,96,75,7.0,US,1628127631
19,Upernavik,72.7868,-56.1549,45.3,71,3,2.3,GL,1628127507
20,Armidale,-30.5167,151.65,44.82,64,10,13.8,AU,1628127687
21,Jamestown,42.097,-79.2353,69.12,72,66,1.99,US,1628127687
22,Barrow,71.2906,-156.7887,55.42,67,1,13.8,US,1628127687
23,Puerto Ayora,-0.7393,-90.3518,71.55,83,47,5.01,EC,1628127508
24,Hermanus,-34.4187,19.2345,52.9,95,38,8.3,ZA,1628127505
25,Nikolskoye,59.7035,30.7861,53.8,77,33,2.46,RU,1628127688
26,Vaini,-21.2,-175.2,73.56,78,20,8.05,TO,1628127688
27,Shingū,33.7333,135.9833,86.99,70,0,8.19,JP,1628127588
28,Prince George,53.9166,-122.753,85.44,32,1,2.3,CA,1628127688
29,Dikson,73.5069,80.5464,45.61,90,22,2.89,RU,1628127503
30,Kapaa,22.0752,-159.319,84.52,74,40,5.01,US,1628127689
